strategy,isolation,contention,ops_per_sec,p50_ms,p99_ms,p999_ms,successes,retry_exhausted,other_failures
optimistic,read_committed,1,336.73,3,6,6,90,0,0
optimistic,read_committed,2,252.00,2,174,174,180,0,0
optimistic,read_committed,4,269.26,2,195,404,360,0,0
optimistic,read_committed,8,141.24,2,394,817,711,9,0
optimistic,read_committed,16,161.78,1,390,812,1377,63,0
optimistic,read_committed,32,180.16,1,384,887,2667,213,0
optimistic,read_committed,64,233.35,1,762,845,4924,836,0
optimistic,serializable,1,248.04,3,20,20,90,0,0
optimistic,serializable,2,569.30,2,61,61,180,0,0
optimistic,serializable,4,132.03,2,375,798,360,0,0
optimistic,serializable,8,188.41,2,393,808,711,9,0
optimistic,serializable,16,158.59,2,400,823,1377,63,0
optimistic,serializable,32,134.02,4,789,1028,2524,356,0
optimistic,serializable,64,102.26,4,807,1240,4082,1678,0
pessimistic,read_committed,1,370.59,2,6,6,90,0,0
pessimistic,read_committed,2,521.98,3,15,15,180,0,0
pessimistic,read_committed,4,842.65,5,9,10,360,0,0
pessimistic,read_committed,8,704.25,11,17,19,720,0,0
pessimistic,read_committed,16,858.67,17,35,43,1440,0,0
pessimistic,read_committed,32,733.58,20,593,872,2880,0,0
pessimistic,read_committed,64,643.00,60,441,734,5760,0,0
pessimistic,serializable,1,251.54,3,25,25,90,0,0
pessimistic,serializable,2,540.25,2,66,66,180,0,0
pessimistic,serializable,4,138.35,2,375,793,360,0,0
pessimistic,serializable,8,191.30,2,383,803,711,9,0
pessimistic,serializable,16,137.51,2,405,823,1367,73,0
pessimistic,serializable,32,139.19,1,406,829,2560,320,0
pessimistic,serializable,64,130.88,2,801,923,4318,1442,0
